,txt,label
274,ขออนุญาตสอบถามครับ มอบตัวอนุบาล 1 ที่ไหนหรอครับ,1
275,รูปถ่ายในการสมัคร อ.1 ต้องเป็นขนาดกี่นิ้วคะ,1
276,ประกาศผลการคัดเลือกอนุบาล 1 ยังไงหรอคะ,1
277,อยากสมัครเรียนเตรียมอนุบาลต้องสมัครยังไงคะ,1
278,ค่าเทอมเตรียมอนุบาลเท่าไหร่ครับ,1
279,น้องเรียนอนุบาล 2 ที่โรงเรียนรัฐบาลมาสามารถสมัครแผนการเรียน ECP ได้ไหมครับ,1
280,ค่าสมัครอนุบาล 1 เท่าไหร่คะ,1
281,ค่าเทอม อ.1 เท่าไหร่คับ,1
282,รับสมัครนักเรียนภายนอกมั้ยคะ,1
283,จะติดต่อฝ่ายวิชาการได้ยังไงคะ,1
284,ขออนุญาติสิบถามค่ะ ค่าเทอม ECP เท่าไหร่คะ,1
285,ขอเบอร์แผนกประถมหน่อยค่ะ ,1
286,ขอดูตารางเรียน ของ ม.1 หน่อยค่ะมีให้ดูมั้ยคะ,1
287,ตารางเรียนชั้น ป.1 ดูได้จากที่ไหนคะ แอดมินส่งให้หน่อยมั้ย,1
288,ตารางเรียน ป.2 มาหรือยังครับ,1
289,ขอตารางเรียน ชั้น ป.3 หน่อยค่ะ,1
290,ตารางเรียนมายังคะ ลูกสาวอยู่ชั้น ป4 ค่ะ,1
291,ขออนุญาตสอบถามค่ะ ตารางเรียนชั้นปฐมศึกษาที่ 5 ดูได้จากที่ไหนคะ,1
292,ขอตารางเรียน ป5 หน่อยค่ะ,1
293,ตารางเรียน ป.6 มายังคะ,1
294,ตารางเรียนชั้นปฐมศึกษาปีที่ 6 มายังคับ,1
295,ขอตารางเรียน ป.2 หน่อยค่ะ,1
296,สามารถจอดรถได้ที่ไหน,2
297,ลานจอดรถอยู่ไหน,2
298,ลานจอดจอดได้กี่คัน,2
299,สามารถจอดรถหน้าโรงเรียนได้มั้ย,2
300,รับส่งลูกได้ที่ไหนบ้าง,2
301,มีรีถรับส่งนักเรียนมั้ย,2
302,โรงเรียนเสียค่าจอดรถไหมครับ,2
303,สามารถนำมอเตอร์ไซค์ไฟฟ้าเข้าไปจอดในโรงเรียนได้หรือไม่,2
304,มีที่สำหรับจอดมอเตอร์ไซค์มั้ย,2
305,มีที่ี่ชาจมอเตอร์ไซค์ไฟฟ้ามั้ยคะ,2
306,ลูกขับมอเตอร์ไซค์ไปโรงเรียนได้มั้ยคะ,2
307,รถมอเตอร์ไซค์สามารถจอดได้ที่ไหนบ้าง,2
308,รถมอเตอร์ไซค์จอดรวมกับรถยนต์ได้มั้ยคะ,2
309,รถมอเตอร์ไซค์มีที่จอดเยอะมั้ย,2
310,แล้วมอเตอร์ไซค์สามารถขับเข้าโรงเรียนได้มั้ยครับ,2
311,ขอแผนที่โรงจอดรถด้วยครับ,2
312,สามารถเข้าไปจอดรอรับลูกได้มั้ยครับ,2
313,สามารถรอรับลูกได้ที่จุดไหนบ้างครับ,2
314,มีที่จอดรถกี่อาคารครับ,2
315,ที่จอดรถเต็มสามารถจอดได้ที่ไหนบ้าง,2
316,ช่วงเวลาที่โรงเรียนมีการเรียนการสอนสามารถเข้าไปรับลูกได้มั้ยครับ,2
317,โรงเรียนมีรถรับส่งไหมครับ,2
318,รถโรงเรียนจอดรอที่ไหนหรอคะ,2
319,มีบริการรถรับ-ส่งมั้ยคะ,2
320,มีรถรับส่งนักเรียนไหมคะ,2
321,รถโรงเรียนคิดค่าบริการเท่าไหร่,2
322,รถโรงเรียนมีรอบกี่โมงบ้าง,2
323,รถโรงเรียน1คันนั่งได้กี่คน,2
324,มีรสบัสบริการไหม,2
325,โรงเรียนมีบัสส่งไหมครับ,2
326,รถบัสจอดรอที่ไหนหรอคะ,2
327,มีบริการรถรับ-ส่งมั้ยคะ,2
328,มีบัสรับส่งนักเรียนไหมคะ,2
329,บัสโรงเรียนคิดค่าบริการเท่าไหร่,2
330,รถบัสโรงเรียนมีรอบกี่โมงบ้าง,2
331,รถบัสโรงเรียน1 คันนั่งได้กี่คน,2
332,โรงเรียนมีรถรับส่งไหมครับ,2
333,รถตู้โรงเรียนจอดรอที่ไหนหรอคะ,2
334,มีรถตู้บริการรถรับ-ส่งมั้ยคะ,2
335,มีรถตู้รับส่งนักเรียนไหมคะ,2
336,รถตู้โรงเรียนคิดค่าบริการเท่าไหร่,2
337,รถตู้โรงเรียนมีรอบกี่โมงบ้าง,2
338,รถตู้โรงเรียน1คันนั่งได้กี่คน,2
339,สมัครใช้บริการรถโรงเรียนได้ที่ไหน,2
340,สมัครใช้บริการรถบัสโรงเรียนได้ที่ไหน,2
341,สมัครใช้บริการรถตู้โรงเรียนได้ที่ไหน,2
342,สมัครใช้บริการบัสโรงเรียนได้ที่ไหน,2
343,รสตู้โรงเรียนคนละเท่าไหร่,2
344,ขอรายละเอียดข้อมูลรถบัสโรงเรียนเพิ่มเติม,2
345,ขอรายละเอียดรถรับส่งโรงเรียน,2
346,มีรถรับส่งไปเรียนรักษาดินแดนไหมคะ,2
347,มีบริการรับส่งนักเรียนรักษาดินแดนไหมคะ,2
348,รถรับส่งจอดตามจุดไหนบ้างคะ,2
349,ขอแผนที่การเดินรถโรงเรียนหน่อยค่ะ,2
350,ขอแผนที่จุดจอดรถโรงเรียนครับ,2
351,ขอแผนที่จุดบริการรถรับส่งนักเรียนครับ,2
352,รถรับส่งจอดหน้าหมู่บ้านไหม,2
353,รถรับส่งจอดหน้าห้างไหม,2
354,รถรับส่งจอดตามรถประจำทางไหม,2
355,รสบัสจอดตามรถประจำทางไหม,2
356,รถบัสมารับถึงหน้าบ้านเลยมั้ยคะ,2
357,รถตู้มารับส่งถึงหน้าบ้านเลยมั้ยคะ,2
358,รถรับส่งมารอรับหน้าบ้านหรือต้องรอตามจุดครับ,2
359,ปกติรถโรงเรียนวิ่งกี่สายครับ,2
360,รถบัสจอดรับกี่จุดหรอคะ,2
361,รถโรงเรียนมีทั้งหมดกี่คัน,2
362,สามารถปั่นจักนยานไปเรียนได้มั้ย,2
363,รถจักรยานจอดได้ที่ไหนบ้าง,2
364,มีจุดรับฝากรถจักรยานไหม,2
365,ขอแผนที่โรงเรียน,2
366,ขอแผนผังอาคารเรียน,2
367,อาหารเที่ยงมีอะไรบ้างคะ,3
368,อยากได้ตารางอาหารแต่ละวัน,3
369,เมนูอาหารของเด็ก,3
370,ภาพเมนูอาหาร,3
371,อยากดูภาพอาหาร,3
372,โรงอาหารจัดอาหารอะไรให้บ้าง,3
373,วันนี้มีเมนูอะไรคะ,3
374,ตอนพักเบรกมีอาหารว่างมั้ยคะ,3
375,มีอาหารว่างให้เด็กๆทานมั้ยเอ่ย,3
376,อาหารว่างเป็นอะไรคะวันนี้,3
377,อาหารว่างมีอะไรบ้างครับ,3
378,นักเรียนได้อาหารว่างคนละกี่ชิ้น,3
379,อยากได้ตารางอาหารว่าง,3
380,โรงเรียนทำอาหารเองหรือป่าว,3
381,โรงเรียนให้นักเรียนทานอาหารอย่างไร,3
382,ถ้าลูกทานแล้วไม่อิ่มสามารถเติมได้ไหม,3
383,นักเรียนนั่งทานอาหารเป็นโต๊ะแบบไหน,3
384,ลูกทานอาหารร่วมกับเพื่อนกี่คน,3
385,มีการใช้ช้อนกลางในการตักอาหารมั้ย,3
386,อาหารของโรงเรียนสะอาดมั้ย,3
387,อาหารโรงเรียนมีโปรตีนเพียงพอมั้ยครับ,3
388,มีร้านอาหารอื่นๆที่ลูกสามารถไปซื้อได้มั้ยครับ,3
389,อาหารว่างเป็นผลไม้หรือว่าขนมครับ,3
390,อาหารแต่ละมื้อมีอไรบ้างครับ,3
391,หลังจากกินอาหารโรงเรียนมีผลไม้ให้เด็กไหมคะ,3
392,ผลไม้แต่ละวันสับเปลี่ยนบ้างไหมคะ,3
393,ผลไม้ที่ให้นักเรียนสดมั้ยคะหรือว่าค้างคืน,3
394,นักเรียนทานไม่หมดมีมาตรการยังไงบ้าง,3
395,ลูกสามารถเอาอาหารไปกินเองได้ไหม,3
396,สามารถเอาอาหารไปทานเองได้ไหมครับ,3
397,รายการอาหารของพรุ่งนี้,3
398,อาหารมีอะไรบ้าง,3
399,เมนูอาหารสัปดาห์นี้,3
400,เมนูอาหารเดือนนี้,3
401,ตารางอาหารของเดือนนี้,3
402,อาหารของโรงเรียนมีอะไรบ้าง,3
403,มีคุณครูคอยตักอาหารให้ไหมครับ,3
404,เด็กต้องไปตักอาหารเองไหมคะ,3
405,เมื่อวานลูกบอกว่าอยากกินก๋วยเตี๋ยวจะมีมาวันไหนคะ,3
406,ลูกอยากทานข้าวผัดจะมีมั้ยคะ,3
407,อาทิตย์หน้าจะมีไข่เจียวมั้ยครับ,3
408,เมนูไก่ทอดจะมาอาทิตย์ไหนครับ,3
409,ปกติมีนํ้าให้ด้วยมั้ยครับเวลาทานอาหาร,3
410,มีเมนูนํ้าอะไรให้บ้างครับเวลาทานอาหาร,3
411,อิสลามสามารถร่วมโต๊ะด้วยได้ไหม,3
412,มีอาหารสำหรับนักเรียนอิสลามมั้ยครับ,3
413,มีโต๊ะสำหรับอิสลามไหม,3
414,นักเรียนอิสลามนั่งตรงไหนหรอครับ,3
415,โรงเรียนมีเมนูไก่สำหรับอิสลามไหม,3
416,ลูกแพ้อาหารโรงเรียนมีอาหารแยกมั้ยคะ,3
417,ลูกแพ้อาหารพวกไข่ต้องแจ้งที่ไหน,3
418,ลูกแพ้อาหารทะเลมีอาหารอื่นทดแทนไหม,3
419,สำหรับเด็กที่แพ้อาหารแจ้งได้ที่ไหนบ้าง,3
420,แพ้พวกนมมีเมนูอื่นทดแทนไหมครับ,3
421,ลูกแพ้ไข่ดาว ไข่เจียว ไข่ตุ๋นแจ้งได้ที่ไหนบ้าง,3
422,แพ้อาหารทะเลสามารถแจ้งได้ที่ไหนบ้าง,3
423,แพ้อาหารแจ้งที่แม่ครัวได้ไหม,3
424,แพ้อาหารแจ้งไว้ที่คุณครูท่านไหน,3
425,เด็กอยากทานมักโรนีไก่สามารถแจ้งได้มั้ยคะ,3
426,เดือนหน้้ามีเมนูอาหารอะไรบ้างหรอคะ,3
427,ปกติแล้วมีการจัดเมนูอาหารกันอย่างไรคะสามารถดูได้ที่ไหน,3
428,มีเมนูอาหารสำหรับนักเรียนอิสลามโดยเฉพาะไหม,3
429,อาหารฮาลาลไหม,3
430,อาหารถูกตามหลักฮาลาลหรือไม่,3
431,โรงเรียนมีการทำความสะอาดพวกจานชามอย่างไรบ้าง,3
432,มีการฆ่าเชื้อโดยการนำภาชนะแช่นำ้ร้อนไหมคะ,3
433,โรงเรียนล้างช้อนส้มทุกวันไหมคะ,3
434,ล้างช้อนส้อมโดยนำ้ร้อนหรือป่าว,3
435,จานชามล้างสะอาดมั้ยคะ,3
436,มีการใช้ช้อนกลางหรือทัพพีในการตักอาหารมั้ยคะ,3
437,อาหารมีรสชาติจัดไหมคะพอดีลูกทานเผ็ดไม่ได้,3
438,อาหารเค็มมากไหมคะ,3
439,รสชาติอาหารของโรงเรียนเป็นอย่างไรบ้างคะ,3
440,ปกติแล้้วใครเป็นคนคุมคุณภาพอาหารของโรงเรียนหรอคะ,3
441,อยากได้รูปหน้าตาอาหารของโรงเรียนค่ะ,3
442,อาหารมีการจัดเตรียมนานมั้ยคะก่อนที่เด็กจะลงมาทาน,3
443,อาหารปรุงร้อนมั้ยคะหรือว่าทำไว้ก่อน,3
444,อาหารกลางวันซื้อมาหรือว่าทำเองคะ,3
445,อาหารกลางวันแม่ครัวเป็นคนทำเองเลยมั้ยคะ,3
446,ลูกอยากทานบะหมี่ค่ะอาทิตย์หน้ามีมั้ย,3
447,มีผลไม้อะไรหลังอาหารบ้าง,3
448,มีแจกนมกล่องหลังอาหารหรือเวลาว่างมั้ยครับ,3
449,มีผัดไทมั้ยครับวันนี้,3
450,เมนูอาหารของพรุ่งนี้มีอะไรบ้าง,3
451,กับข้าววันนี้เป็นอะไรบ้างคะ,3
452,มีแกงมั้ยคะในเมนูอาหาร,3
453,มีแกงในเมนูมั้ย,3
454,ลูกอยากทานข้าวผัดวันนี้มีไหมครับ,3
455,สามารถพกช้อนส้อมไปใช้เองส่วนตัวได้มั้ยคับ,3
456,สามารถพกจานไปใช้ส่วนตัวได้ไหม,3
457,อาหารมีรสชาติเป็นอย่างไรบ้างคะ,3
458, สวัสดีค่ะ ไม่ทราบว่าทางโรงเรียนจะมีขายชุดนักเรียนวันไหนหรอคะ,3
459,"ตอนนี้ที่สหกรณ์โรงเรียนมีขายไหมครับ หรือต้องไปซื้อจากข้างนอก พอดีวันที่ซื้อชุดนักเรียนไม่ได้ซื้อเอาไว้ครับ 
เเล้วราคาท่าไหร่ครับ",3
460,ชุดนักเรียน จะเปิดขายเมื่อไหร่ครับ กลัวว่าถ้าโรงเรียนเปิด 14 มิถุนา แล้วน้องจะไม่มีชุด (ชุดเดิมใส่ไม่ได้แล้ว),3
461,พวกสมุด ชุดลูกเสือ ชื้อพรุ่งนี้ได้ไหมคะ,3
462,นักเรียนที่ขึ้นชั้นประถม 4 เปลี่ยนเครื่องแบบใช่ไหมคะ แล้วสามารถซื้อชุดได้วันไหนค่ะ,3
463,สามารถไปซื้อชุดได้วันไหนคะ,3
464,ชุดนักเรียนชั้น ม.4 ซื้อได้วันไหนค่ะ,3
465,วันที่17ขายชุดนักเรียนไหมครับ,3
466,เริ่มจำหน่ายชุดนักเรียนวันไหนค่ะ จะส่งปักด้วยค่ะ ขอบคุณค่ะ,3
467,ชุดอนุบาลราคาเท่าไหร่คะ,3
468,วันที่17พค.​คือให้ซื้อหนังสือและชุดใช่ไหมคะ​,3
469,วันที่ 17 ขายชุดนักเรียนไหมครับ,3
470,ชุดพละราคาเท่าไหร่คะ,3
471,ติดต่อโรงเรียนได้ช่องทางไหนบ้าง,0
472,ขอเบอร์โทรของโรงเรียนหน่อยค่ะ,0
473,เบอร์โทรโรงเรียน,0
474,โทรหาโรงเรียนได้ที่ไหนบ้าง,0
475,อยากทราบช่องทางการติดต่อต่างๆของโรงเรียน,0
476,โทรหาทางโรงเรียนได้ช่วงเวลาไหนบ้าง,0
477,ติดต่อช่องทางไหนได้บ้าง,0
478,อยากติดต่อโรงเรียน,0
479,ติดต่อโรงเรียนหน่อยค่ะ,0
480,ติดต่อได้ที่ไหนบ้าง,0
481,ติดต่อได้วันไหนบ้าง,0
482,ติดต่อได้ที่ี่ช่องทางไหนเพิ่มเติมได้บ้างครับ,0
483,ติอต่อทางโรงเรียนช่วงเวลาไหน,0
484,เวลานี้มาสามารถติดต่อได้ไหม,0
485,ติดต่อได้ไหมครับตอนนี้,0
486,ขอเบอติดต่อของโรงเรียน,0
487,ขอเบอติดต่อหน่อยครับ,0
488,อยากโทรหาโรงเรียนครับเรื่องลูก,0
489,อยากติดต่อโรงเรียนเรื่องลูกค่ะ,0
490,อยากทราบเบอร์ติดต่อของโรงเรียนค่ะ,0
491,อยากทราบเบอร์ติดต่อของอาจารย์ท่านหนึ่งค่ะ,0
492,อยากได้เบอร์โทรหาโรงเรียนค่ะ,0
493,ช่องทางเบอร์โทรสามารถติดต่อได้เวลาไหนบ้าง,0
494,เวลานี้สามารถติดต่อโรงเรียนได้ไหม,0
495,โรงเรียนเปิดทำการกี่โมงหรอคะ,0
496,ขอไลน์ภาค EP หน่อยค่ะ,5
497,ขอเบอร์ติดต่อแผนก english program หน่อยได้ไหมคะ,5
498,มีช่องทางไลน์ให้ติดต่อมั้ยคะภาค EP,5
499,มอบใบประกาศการแข่งขัน CPWEP เมื่อไหร่คะ,5
500,สอนเสริมวันเสาร์โครงการ EP  ช่วงไหน ช่วงบ่ายหรือเช้าคะ,5
501,กิจกรรมรับฟังแนะนำโครงการ ep จัดขึ้นช่วงไหนครับ,5
502,ภาค ep มีไลน์ให้ติดต่อมั้ยคับ,5
503,คลิปประกวดร้องเพลงค่าน้ำนมส่งยังไงคะภาค ep,5
504,จองวัน - เวลาในการรับฟังการแนะนำ ep ยังไงคะ,5
505,กิจกรรมรับฟังแนะนำโครงการ ep วันสถานที่ไหนคะ,5
506,ขอเบอร์ติดต่อ ep หน่อยค่ะ,5
507,ขอไลน์ของ EP หน่อยค่ะมีเรื่องติดต่อสอบถามแบบเร่งด่วน,5
508,จะติดต่อโครงการ EP ได้ยังไงคะ,5
509,ค่าเทอม อีพีเท่าไหร่คะ,5
510,อยากทราบค่าเทอมโครงการอีพี,5
511,อีพีมีการเรียนการสอนยังไงบ้าง,5
512,ติดต่อแผนกอีพีได้ที่ไหน,5
513,อีพีรับเด็กอนุบาลไหมครับ,5
514,โครงการอีพีรับเด็กอนุบาลไหม,5
515,epรับเด็กประถมไหมครับ,5
516,อีพีมีเรียนเสริมช่วงไหนบ้างครับ,5
517,รบกวนขอช่องการติดต่อโครงการอีพี,5
518,ขอช่องการติดต่อโครงการอีพีหน่อยค่ะ,5
519,อีพีเรียนที่ไหนคะเรียนรวมกับห้องธรรมดาหรือป่าว,5
520,epมีอาจารย์จากต่างประเทศมาสอนไหมคะ,5
521,โครงการอีพีมีอาจารย์จากต่างประเทศมาสอนไหม,5
522,อีพีสอนเป็นภาษาไทยหรือภาษาอังกฤตครับ,5
523,โครงการepมีรายละเอียดการสอนอย่างไรบ้าง,5
524,epมีอาจารย์์จากประเทศไหนบ้างครับ,5
525,อีพีสามารถให้ลูกพูดภาษาไทยได้ไหมคะ,5
526,epจำเป็นต้องมีพื้นฐานอะไรบ้างคะ,5
527,ถ้าลููกไม่มีพื้นฐานด้านภาษาสามารถลงเรียนได้ไหมคะ,5
528,ไม่มีพื้นฐานทางด้านภาษาอังกฤตสามารถสมัครโครงการepได้ไหม,5
529,โครงการepต้องมีพื้นฐานไหมคะ,5
530,โครงการepมีสอบวัดระดับไหม,5
531,อีพีมีการสอบวัดระดับพื้นฐานไหมคะ,5
532,อีพีต้องมีการเตรียมตัวอย่างไรบ้าง,5
533,epต้องเตรียมตัวอย่างไรบ้าง,5
534,ลูกพูดได้แต่ภาษาไทยสามารถสมครโครงการepได้ไหมคะ,5
535,อีพีต้องมีพื้นฐานอะไรบ้างคะ,5
536,ถ้าลูกไม่มีพื้นทางด้านภาษาสามารถสมัครโครงการอีพีได้ไหม,5
537,epมีสอนภาษาอะไรบ้างคะ,5
538,อีพีเปิดสมัครชั้นไหนบ้าง,5
539,มัธยมต้นมีโครงการอีพีไหมคะ,5
540,epเปิดสมัครชั้นไหนบ้าง,5
541,อยากทราบแผนการเรียนการสอนของโครงการep,5
542,แผนการสอนของโครงการอีพีเป็นอย่างไรบ้าง,5
543,อีพีเลิกเรียนกี่โมงคะ,5
544,โครงการอีพีมีีเข้าแถวตอนเช้ามั้ยคะ,5
545,epต้องเข้าแถวตอนเช้ามั้ยคะ,5
546,อยากดูรูปห้องเรียนของโครงการepค่ะ,5
547,ห้องเรียนของอีพีเป็นยังไงคะมีเครื่องปรับอากาศไหม,5
548,โครงการอีพีอัตราส่วนระหว่างนักเรียนกับครูต่อห้องเป็นเท่าไหร่คะ,5
549,อีพีมีจำนวนนักเรียนกี่คนคะต่อ1ห้อง,5
550,epมีนักเรียนกี่คนต่อห้องครับ,5
551,โครงการอีพีมีครูประจำชั้นหรือครูพี่เลี้ยงไหมคะ,5
552,อีพีมีครูประจำชั้นหรือครูพี่เลี้ยงมั้ยครับ,5
553,epมีครูประจำชั้นหรือครูพี่เลี้ยงกี่คนครับ,5
554,โครงการอีพีทีกี่ห้องครับ,5
555,โครงการอีพีมีกี่ห้องครับแล้วแต่ละห้องมีจำนวนเด็กกี่คน,5
556,เด็กในแต่ละห้องepมีประมาณกี่คนครับ,5
557,ห้องในโครงการอีพีมีเครื่องปรับอากาศทุกห้องไหมครับ,5
558,epมีแอร์ทุกห้องไหม,5
559,epมีเครื่้องปรับอากาศทุกห้องไหมครับ,5
560,โครงการepมีเครื่องปรับอากาศทุกห้องไหมครับ,5
561,อีพีมีแอร์ให้ทุกห้องไหม,5
562,โครงการอีพีมีกฎระเบียบอย่างไรบ้าง,5
563,epมีกฎระเบียบอะไรบ้างคะ,5
564,epต้องเครียมอะไรไปเรียนบ้าง,5
565,โครงการ อีพี สามารถใช้ไอแพดเรียนได้ไหม,5
566,epสามารถนำipadไปเรียนได้ไหมครับ,5
567,อีพีสามารถนำไอแพดเข้าไปเรียนได้ไหมครับ,5
568,โครงการอีพีสามารถนำแท็ปเลตเข้าไปเรียนได้ไหมครับ,5
569,epนำtabletเข้าไปเรียนได้ไหมคะ,5
570,โครงการอีพีสามารถพกอุปกรณ์สื่อสารเข้าห้องเรียนได้ไหมคะ,5
571,เมื่อไหร่จะมีopen house ของโครงการอีพีคะ,5
572,จะมีการเปิดบ้านของโครงการอีพีไหมคะ,5
573,อีพีจะมีการเปิดบ้านเมื่อไหร่คะ,5
574,อีพีมีการเปิดบ้านไหมคะจะได้พาลูกไปดู,5
575,epมีการเปิดบ้านไหมคะพอดีลูกสนใจ,5
576,จะมีการจัดopen house ของโครงการepไหมคะ,5
577,จะมีการจัดบูธโครงการepไหมคะ,5
578,พ่อแม่สามารถดูตัวอย่างการเรียนการสอนโครงการepได้ที่ไหนคะ,5
579,มีตัวอย่างการเรียนการสอนของepไหมคะ,5
580, ค่าเทอม EP ของ ม.1 เท่าไหร่คะ,5
581,ติดต่อโรงเรียนได้เวลาไหนบ้าง,0
582,ตอนนี้ติดต่อได้ไหม,0
583,ติดต่อที่เบอร์ไหนคะ,0
584,อยากติดต่อโรงเรียนค่ะ,0
585,อยากทราบที่อยู่ของโรงเรียน,0
586,โรงเรียนตั้งอยู่ไหนคะ,0
587,ติดต่อช่องทางไลน์ได้ไหม,0
588,ติอต่อโรงเรียนยังไงได้บ้าง,0
589,ติอต่อโรงเรียนเบอร์ไหน,0
590,ติอต่อโรงเรียนยังไง,0
591,ติดต่อโรงเรียนทีค่ะ,0
592,อยากได้ช่องทางการติดต่อ,0
593,ติดต่อโรงเรียนตอนนี้ได้มั้ย,0
594,โทรหาโรงเรียนได้ที่ี่เบอร์อะไรคะ,0
595,โทรหาโรงเรียนเวลาไหนได้บ้าง,0
596,อยากโทรหาโรงเรียนค่ะต้องโทรไปที่เบอร์ไหน,0
597,อยากโทรหาคูณครูของลูกค่ะ,0
598,ติดต่อที่ทางเพจได้ไหมคะ,0
599,ต่อต่อโรงเรียนช่วงเวลานี้ได้ไหม,0
600,อยากติดต่อโรงเรียนเรื่ื่องลูกครับ,0
601,ลูกเป็นยังไงบ้างติดต่อโรงเรียนครับ,0
602,ลูกเป็นยังไงบ้างครับตอนนี้,0
603,อยากสมัครเป็นครูต้องติดต่อที่ไหนคะ,8
604,อยากเปิดร้ายขายอาหารในโรงเรียนต้องทำอย่างไรบ้าง,8
605,จะไปเปิดสหกรณ์ในโรงเรียนต้องทำอย่างไรบ้าว,8
606,เปิดร้ายอาหารในโรงอาหารได้ไหม,8
607,อยากสมัครเปิดร้านอาหารในโรงเรียนค่ะ,8
608,สมัครเป็นครูต้องทำอย่างไรบ้าง,8
609,สมัครตำแหน่งที่ประกาศครับ,8
610,ตอนนี้มีตำเเหน่งอะไรเปิดรับบ้างครับ,8
611,ตำแหน่งที่ว่างอยู่ตอนนี้มีอะไรบ้าง,8
612,หางานครับเปิดรับสมัครตำแหน่งอะไรบ้าง,8
613,อยากได้งานในโรงเรียนนี้ครับมีงานอะไรบ้าง,8
614,จะมีเปิดคัดเลือกร้านอาหารในโรงเรียนเมื่อไหร่คะ,8
615,ถ้าอยากเข้าไปขายของในโรงเรียนต้องทำยังไงคะ,8
616,เช่าที่ขายของในโรงเรียนได้ไหม,8
617,อยากเช่าที่ขายของในโรงเรียน,8
618,สมัครขายอาหารในโรงเรียนต้องทำอย่างไรบ้าง,8
619,พอดีเปิดร้านขายอาหารอยู่ถ้าอยากไปเปิดในโรงเรียนด้วยต้องทำยังไง,8
620,เปิดร้้านขายลูฏชิ้น ไส้กรอกในโรงเรียนได้ไหม,8
621,อยากเปิดร้้านขายของเล่นในโรงเรียนค่ะค่าเช่าวันละเท่าไหร่,8
622,สามารถเช่าพื้นที่ในโรงเรียนขายของได้ไหมคะ,8
623,อยากเช่าพื้นที่ในโรงเรียนขายของตอนเย็นได้ไหม,8
624,เช่าพื้นเล็กๆที่ภายในโรงเรียนได้ไหม,8
625,อยากเช่าพื้นที่ขายของตอนเย็น,8
626,ค่าเช่าพื้นที่ร้านอาหารในโรงเรียนเท่าไหร่คะ,8
627,อยากเปิดร้านขายนํ้าในโรงเรียนต้องทำอย่างไรบ้าง,8
628,อยากขายนํ้าหวานในโรงเรียนตอนติดต่อที่ไหนคะ,8
629,อยากเข้าไปขายอาหารในโรงเรียนต้องติดต่อที่ไหนครับ,8
630,อยากขายอุปกรณ์เครื่องเขียนในโรงเรียนติดต่อที่ไหนครับ,8
631,สามารถสมัครเป็นสหกรณ์ขายของในโรงเรียนต้องติดต่อที่ไหน,8
632,สมัครเป็นสหกรณ์ขายของภายในโรงเรียนติดต่อที่ไหน,8
633,สมัครเป็นสหกรณ์ขายของภายในโรงเรียนต้องทำอย่างไรบ้าง,8
634,อยากเปิดร้านขายเครื่องเขียนในโรงเรียนติดต่อที่ไหนคะ,8
635,เช่าแผงเปิดร้านขายเครื่องเขียนในโรงเรียนได้ไหม,8
636,เช่าพื้นที่ในโรงเรียนขายอุปกรณ์เครื่องเขียนได้มั้ย,8
637,สวัสดีครับอยากจัดกิจกรรมภายในโรงเรียนสามารถติดต่อได้ที่ไหน,8
638,สวัสดีครับจากเนสเล่นะครับ อยากเข้าไปจัดกิจกรรมภายในโรงเรียนต้องสามารถทำได้ไหมครับ,8
639,สวัสดีครับจากบริษัท ดัชมิลนะครับโรงเรียนสามารถให้เข้าไปจัดกิจกรรมให้เด็กนักเรียนได้ไหมครับ มีค่าใช้จ่ายอย่างไรบ้าง,8
640,จะจัดกิจกรรมภายในโรงเรียนมีค่าใช้จ่ายอะไรบ้าง,8
641,อยากจะจัดกิจกรรมในโรงเรียนมีค่าใช้จ่ายอะไรบ้าง,8
642,จัดกิจกรรมภายในโรงเรียนมีเงื่อนไขอย่างไรบ้าง,8
643,"ช่วงที่นักเรียนหยุดเรียนโควิด ไม่มีการเรียนการสอน ตั้งแต่วันที่ 28 ธ.ค. 63 ถึง 31 ม.ค.64 ทางโรงเรียนจะดำเนิน
การคืนค่าเทอมให้ผู้ปกครองมั๊ยคะ",6
644,ข​อ​ง​ ป.1​ ไม่มีคืนค่าเทอมหรือค่ะ,6
645,ในส่วนของ EP หละคะ คืนค่าเทอมมั๊ย,6
646,"ทางรร.ไม่คืนค่าเทอมบ้างหรอค่ะ
",6
647,ป.5 Eng cpw คืนค่าเทอมเท่าไรคะ,6
648,สอบถามเรื่องคืนค่าเทอมค่ะ,6
649,"รร.จะคืนค่าอาหารให้ไหมคะ
",6
650,ค่าอาหารทางโรงเรียนจะคืนค่าอาหารกลางวันที่น้องไม่ได้ทานที่โรงเรียน หรือ ค่าใช้จ่ายบ้างส่วนคืนบ้างเปล่าครับ,6
651,ทางโรงเรียนจะคืนค่าอาหารเมื่อไหร่คะ,6
652,คืนค่าอาหารกลางวันด้วยหรือเปล่าคะ,6
653,ม.1 ไม่มีคืนค่าเทอมหรอคะสรุป,6
654,EP คืนค่าเทอมมั้ยคะ,6
655,เตรียมอนุบาล ไม่มีคืนค่าเทอมบ้างหรอคะ,6
656,ป.4 ปกติ คืนแค่ 500 บาท เองหรอค่ะ รวมหักค่าอาหารหรือยังค่ะ,6
657,นี่คือลดค่าเทอมแล้วเหรอค่ะ,6
658,สอบถามค่ะ แผนก English Program ไม่มีการจ่ายค่าเทอมคืนบ้างหรือค่ะ,6
659,อย่าลืมคืน ค่าสอบ tedet 300 บาท ด้วยนะคะ,6
